Giocatore;Ruolo;Squadra_giocatore;Cartellini Gialli_per90;Cartellini Rossi_per90;Falli_per90;Fallo Subito_per90;Intercettazioni_per90;Tackle Vinti_per90;Recupero Palla_per90;Aerei Vinti_per90;Aerei Persi_per90;Minuti Giocati
Jordan Zemura;Dif;Udinese;0.14285714285714285;0.0;1.4285714285714286;0.42857142857142855;1.0714285714285714;0.9285714285714286;4.0;0.42857142857142855;0.9285714285714286;14.0
Josep Martinez;Por;Inter;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.6666666666666666;0.3333333333333333;0.0;3.0
José Luis Palomino;Dif;Cagliari;0.15873015873015872;0.0;0.4761904761904762;0.15873015873015872;1.5873015873015874;1.1111111111111112;4.126984126984127;0.9523809523809524;1.2698412698412698;6.3
José Manuel Reina;Por;Como;0.0;0.0;0.0;0.1;0.0;0.0;1.1;0.1;0.0;10.0
João Félix;Cen;Milan;0.18867924528301888;0.0;1.1320754716981132;2.8301886792452833;0.0;0.5660377358490566;3.7735849056603774;0.7547169811320755;0.9433962264150944;5.3
Joël Schingtienne;Dif;Venezia;0.2597402597402597;0.0;0.6493506493506493;0.12987012987012986;1.1688311688311688;1.4285714285714286;4.415584415584416;0.38961038961038963;0.9090909090909091;7.7
Juan Cuadrado;Dif.Cen;Atalanta;0.14285714285714285;0.0;0.42857142857142855;2.7142857142857144;0.7142857142857143;1.1428571428571428;3.4285714285714284;1.2857142857142858;0.2857142857142857;7.0
Juan David Cabal;Dif;Juventus;0.0;0.0;1.3725490196078431;1.9607843137254903;0.3921568627450981;0.7843137254901962;3.9215686274509807;1.5686274509803924;0.5882352941176471;5.1
Juan Guilherme Nunes Jesus;Dif;Napoli;0.19801980198019803;0.0;1.2871287128712872;0.09900990099009901;0.6930693069306931;1.0891089108910892;2.7722772277227725;1.9801980198019802;0.7920792079207921;10.1
Juan Miranda;Dif;Bologna;0.1530612244897959;0.0;1.0204081632653061;1.2244897959183672;1.0204081632653061;0.8673469387755102;3.826530612244898;1.4285714285714284;1.4285714285714284;19.6
