Giornata;Giorno della Settimana;Data;Ora Inizio;Squadra di Casa;xG Casa;Risultato;xG Trasferta;Squadra Trasferta;Spettatori;Stadio;Arbitro;Link Report
12;Ven;08-11-2024;20:45;Lecce;1.6;1–1;0.6;Empoli;23.907;Stadio Comunale Ettore Giardiniero;Juan Luca Sacchi;https://fbref.com/it/partite/dac22768/Lecce-Empoli-8-Novembre-2024-Serie-A
12;Sab;09-11-2024;15:00;Venezia;0.8;1–2;1.0;Parma;10.866;Stadio Pier Luigi Penzo;Daniele Chiffi;https://fbref.com/it/partite/8b0cfe1d/Venezia-Parma-9-Novembre-2024-Serie-A
12;Sab;09-11-2024;18:00;Cagliari;1.7;3–3;3.3;Milan;16.271;Unipol Domus;Michael Fabbri;https://fbref.com/it/partite/23026b6f/Cagliari-Milan-9-Novembre-2024-Serie-A
12;Sab;09-11-2024;20:45;Juventus;1.7;2–0;0.4;Torino;41.066;Allianz Stadium;Simone Sozza;https://fbref.com/it/partite/51962386/Juventus-Torino-9-Novembre-2024-Serie-A
12;Dom;10-11-2024;12:30;Atalanta;0.9;2–1;0.8;Udinese;22.884;Gewiss Stadium;Marco Di Bello;https://fbref.com/it/partite/fcc555f9/Atalanta-Udinese-10-Novembre-2024-Serie-A
12;Dom;10-11-2024;15:00;Roma;1.3;2–3;1.7;Bologna;50.500;Stadio Olimpico;Gianluca Manganiello;https://fbref.com/it/partite/b93d514f/Roma-Bologna-10-Novembre-2024-Serie-A
12;Dom;10-11-2024;15:00;Fiorentina;1.9;3–1;0.4;Hellas Verona;22.495;Stadio Artemio Franchi;Luca Zufferli;https://fbref.com/it/partite/c9d4e593/Fiorentina-Hellas-Verona-10-Novembre-2024-Serie-A
12;Dom;10-11-2024;18:00;Monza;1.0;0–1;1.6;Lazio;11.706;U-Power Stadium;Andrea Colombo;https://fbref.com/it/partite/90116cdb/Monza-Lazio-10-Novembre-2024-Serie-A
12;Dom;10-11-2024;20:45;Inter;1.5;1–1;0.7;Napoli;72.951;Stadio Giuseppe Meazza;Maurizio Mariani;https://fbref.com/it/partite/8a3f7f87/Internazionale-Napoli-10-Novembre-2024-Serie-A
13;Sab;23-11-2024;15:00;Hellas Verona;0.5;0–5;3.2;Inter;27.000;Stadio Marc'Antonio Bentegodi;Andrea Colombo;https://fbref.com/it/partite/f40e8673/Hellas-Verona-Internazionale-23-Novembre-2024-Serie-A
13;Sab;23-11-2024;18:00;Milan;0.3;0–0;0.4;Juventus;75.502;Stadio Giuseppe Meazza;Daniele Chiffi;https://fbref.com/it/partite/3d6d1119/Milan-Juventus-23-Novembre-2024-Serie-A
13;Sab;23-11-2024;20:45;Parma;0.7;1–3;2.7;Atalanta;18.790;Stadio Ennio Tardini;Gianluca Manganiello;https://fbref.com/it/partite/b0abcd14/Parma-Atalanta-23-Novembre-2024-Serie-A
13;Dom;24-11-2024;12:30;Genoa;1.7;2–2;3.0;Cagliari;31.070;Stadio Comunale Luigi Ferraris;Simone Sozza;https://fbref.com/it/partite/6a1e4119/Genoa-Cagliari-24-Novembre-2024-Serie-A
13;Dom;24-11-2024;15:00;Como;1.1;0–2;0.8;Fiorentina;8.500;Stadio Giuseppe Sinigaglia;Matteo Marchetti;https://fbref.com/it/partite/8ad4e7bb/Como-Fiorentina-24-Novembre-2024-Serie-A
13;Dom;24-11-2024;15:00;Torino;1.0;1–1;0.9;Monza;22.000;Stadio Olimpico Grande Torino;Rosario Abisso;https://fbref.com/it/partite/a9bc6012/Torino-Monza-24-Novembre-2024-Serie-A
13;Dom;24-11-2024;18:00;Napoli;1.4;1–0;0.6;Roma;51.164;Stadio Diego Armando Maradona;Davide Massa;https://fbref.com/it/partite/5993c0f0/Derby-del-Sole-Napoli-Roma-24-Novembre-2024-Serie-A
13;Dom;24-11-2024;20:45;Lazio;2.0;3–0;0.1;Bologna;40.000;Stadio Olimpico;Antonio Rapuano;https://fbref.com/it/partite/b823aa0b/Lazio-Bologna-24-Novembre-2024-Serie-A
13;Lun;25-11-2024;18:30;Empoli;0.1;1–1;0.8;Udinese;1.449;Stadio Carlo Castellani - Computer Gross...;Livio Marinelli;https://fbref.com/it/partite/249de3fa/Empoli-Udinese-25-Novembre-2024-Serie-A
13;Lun;25-11-2024;20:45;Venezia;2.5;0–1;0.7;Lecce;9.448;Stadio Pier Luigi Penzo;Luca Pairetto;https://fbref.com/it/partite/616c48a5/Venezia-Lecce-25-Novembre-2024-Serie-A
14;Ven;29-11-2024;20:45;Cagliari;1.8;1–0;0.7;Hellas Verona;16.162;Unipol Domus;Maurizio Mariani;https://fbref.com/it/partite/b2adb745/Cagliari-Hellas-Verona-29-Novembre-2024-Serie-A
14;Sab;30-11-2024;15:00;Como;1.3;1–1;1.3;Monza;9.749;Stadio Giuseppe Sinigaglia;Juan Luca Sacchi;https://fbref.com/it/partite/54be0ee5/Como-Monza-30-Novembre-2024-Serie-A
14;Sab;30-11-2024;18:00;Milan;2.3;3–0;0.5;Empoli;68.725;Stadio Giuseppe Meazza;Federico Dionisi;https://fbref.com/it/partite/1d6a6ac7/Milan-Empoli-30-Novembre-2024-Serie-A
14;Sab;30-11-2024;20:45;Bologna;3.2;3–0;0.4;Venezia;24.866;Stadio Renato Dall'Ara;Luca Massimi;https://fbref.com/it/partite/75f6e865/Bologna-Venezia-30-Novembre-2024-Serie-A
14;Dom;01-12-2024;12:30;Udinese;0.2;0–2;1.6;Genoa;21.995;Bluenergy Stadium;Gianluca Aureliano;https://fbref.com/it/partite/bb7b34e8/Udinese-Genoa-1-Dicembre-2024-Serie-A
14;Dom;01-12-2024;15:00;Torino;0.3;0–1;1.4;Napoli;25.060;Stadio Olimpico Grande Torino;Michael Fabbri;https://fbref.com/it/partite/148db1a0/Torino-Napoli-1-Dicembre-2024-Serie-A
14;Dom;01-12-2024;15:00;Parma;1.5;3–1;2.5;Lazio;22.885;Stadio Ennio Tardini;Luca Zufferli;https://fbref.com/it/partite/655f8c05/Parma-Lazio-1-Dicembre-2024-Serie-A
14;Dom;01-12-2024;20:45;Lecce;1.5;1–1;1.3;Juventus;27.080;Stadio Comunale Ettore Giardiniero;Antonio Rapuano;https://fbref.com/it/partite/6663ff8b/Lecce-Juventus-1-Dicembre-2024-Serie-A
14;Lun;02-12-2024;20:45;Roma;0.4;0–2;1.3;Atalanta;55.772;Stadio Olimpico;Marco Guida;https://fbref.com/it/partite/74396b38/Roma-Atalanta-2-Dicembre-2024-Serie-A
15;Ven;06-12-2024;18:30;Inter;1.8;3–1;0.4;Parma;71.879;Stadio Giuseppe Meazza;Rosario Abisso;https://fbref.com/it/partite/36a8e6c1/Internazionale-Parma-6-Dicembre-2024-Serie-A
