Giocatore;Posizione
Mërgim Vojvoda;Dif-Cen (CD-T)
Stefan de Vrij;Dif (DC-T)
Kyle Walker;Dif-Cen (T, right)
Sebastian Walukiewicz;Dif (DC, right)
Sebastian Walukiewicz;Dif (DC, right)
Timothy Weah;Dif-Att-Cen
Mateusz Wieteska;Dif (DC)
John Yeboah;Att-Cen
Kenan Yıldız;Att-Cen
Mattia Zaccagni;Att-Cen (TRQ, left)
Nicola Zalewski;Dif-Cen
Nicola Zalewski;Dif-Cen
Andre-Frank Zambo Anguissa;Cen (CC-CD-CE, right)
Francesco Zampano;Dif-Cen (T-CE)
Nicolò Zaniolo;Att-Cen (TRQ)
Nicolò Zaniolo;Att-Cen (TRQ)
Alessandro Zanoli;Dif-Cen
Duván Zapata;Att
Gabriele Zappa;Dif-Cen (T, right)
Davide Zappacosta;Dif-Cen (CD-T-CE, right)
